timestamp,Kaggle Score,model,K-Fold,feature_importance_split,feature_importance_gain,params,features,description,os_full,OOF confusion matrix,OOF per-class recall
2026-06-07 13:12:03,0.96507,LightGBM,"Mean BalAcc = 0.9631 ± 0.0008
Min = 0.9624
Max = 0.9643
OOF BalAcc = 0.9631
Time (sec) = 28.4","delta = 6965
redshift = 5290
sin_alpha = 5176
u = 5024
cos_alpha = 4708
z = 4691
g = 4362
r = 4107
i = 3880
spectral_type = 455
galaxy_population = 342","r = 5.54M (29.4%)
redshift = 3.77M (20.0%)
sin_alpha = 2.39M (12.6%)
cos_alpha = 1.64M (8.7%)
u = 1.21M (6.4%)
z = 1.05M (5.6%)
delta = 920.52K (4.9%)
spectral_type = 765.45K (4.1%)
g = 710.33K (3.8%)
i = 662.14K (3.5%)
galaxy_population = 217.57K (1.2%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.1
max_depth = 8
min_child_samples = 20
n_estimators = 500
num_leaves = 31
subsample = 0.8","base
sin_alpha
cos_alpha
drop alpha","Замена alpha на sin_alpha и cos_alpha. Kaggle улучшился на 0.00179 (0.96507) — первый реальный прирост! sin_alpha + cos_alpha дали 21.3% важности (vs 6.3% у alpha). K-Fold в пределах шума (-0.0003). u снова упал до 6.4%, но общий результат лучше.",Windows-10-10.0.26200-SP0,,
2026-06-07 13:23:42,0.96567,LightGBM,"Mean BalAcc = 0.9649 ± 0.0004
Min = 0.9643
Max = 0.9656
OOF BalAcc = 0.9649
Time (sec) = 192.6","delta = 53846
redshift = 45198
u = 42385
sin_alpha = 39767
cos_alpha = 39617
z = 39363
g = 38259
r = 35313
i = 34562
galaxy_population = 1899
spectral_type = 1791","redshift = 11.08M (53.7%)
spectral_type = 3.07M (14.9%)
z = 1.72M (8.3%)
g = 1.38M (6.7%)
u = 1.02M (4.9%)
delta = 466.63K (2.3%)
cos_alpha = 419.22K (2.0%)
sin_alpha = 389.32K (1.9%)
i = 386.98K (1.9%)
galaxy_population = 380.04K (1.8%)
r = 337.14K (1.6%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
- alpha","Финальная модель (n_estimators=2000, max_depth=10). Лучший результат: Kaggle 0.96567 (+0.00239 vs base), K-Fold 0.9649 ± 0.0004. redshift доминирует (53.7%), spectral_type вырос до 14.9%. Модель стала глубже и лучше использует признаки. Распределение важности сбалансированное.",Windows-10-10.0.26200-SP0,,
2026-06-07 13:40:39,,LightGBM,"Mean BalAcc = 0.9646 ± 0.0003
Min = 0.9641
Max = 0.9650
OOF BalAcc = 0.9646
Time (sec) = 263.2","delta = 41488
redshift = 35552
sin_alpha = 32496
cos_alpha = 31791
color_gr = 27982
color_ug = 27026
color_rz = 24496
color_ri = 23969
u = 23794
color_iz = 22596
g = 21211
z = 20774
i = 19437
r = 18230
galaxy_population = 677
spectral_type = 481","redshift = 10.70M (51.7%)
color_gr = 3.28M (15.8%)
color_rz = 1.34M (6.5%)
color_ug = 1.08M (5.2%)
g = 811.09K (3.9%)
z = 749.49K (3.6%)
u = 509.71K (2.5%)
delta = 392.81K (1.9%)
cos_alpha = 378.54K (1.8%)
sin_alpha = 360.95K (1.7%)
spectral_type = 310.45K (1.5%)
i = 279.08K (1.3%)
color_ri = 182.59K (0.9%)
r = 161.26K (0.8%)
galaxy_population = 97.55K (0.5%)
color_iz = 72.07K (0.3%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ color_gr
+ color_rz
+ color_ug
+ color_ri
+ color_iz
- alpha","Добавлены все цветовые индексы (color_gr, color_rz, color_ug, color_ri, color_iz). K-Fold упал на 0.0003 (в пределах шума). color_gr занял 2-е место (15.8%), но spectral_type рухнул с 14.9% до 1.5%. Мультиколлинеарность цветов с сырыми величинами подавляет важные признаки. Прироста нет.",Windows-10-10.0.26200-SP0,,
2026-06-07 13:46:35,,LightGBM,"Mean BalAcc = 0.9585 ± 0.0005
Min = 0.9580
Max = 0.9594
OOF BalAcc = 0.9585
Time (sec) = 187.0","delta = 54986
redshift = 44950
color_gr = 44130
color_ug = 43347
sin_alpha = 39294
cos_alpha = 38992
color_rz = 36205
color_ri = 35332
color_iz = 32899
galaxy_population = 1174
spectral_type = 691","redshift = 11.22M (55.1%)
color_gr = 3.74M (18.4%)
color_rz = 1.73M (8.5%)
color_ug = 1.45M (7.1%)
delta = 563.69K (2.8%)
cos_alpha = 434.21K (2.1%)
sin_alpha = 380.60K (1.9%)
spectral_type = 365.04K (1.8%)
color_ri = 324.76K (1.6%)
color_iz = 111.85K (0.5%)
galaxy_population = 51.21K (0.3%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ color_gr
+ color_rz
+ color_ug
+ color_ri
+ color_iz
- alpha
- u
- g
- z
- i
- r","Удалены сырые величины u,g,r,i,z, оставлены только цвета. Катастрофа: K-Fold упал на 0.0064 (0.9585). Цвета не несут информацию об абсолютной яркости, которая критична для классификации. spectral_type снова подавлен (1.8%). Сырые величины обязательны.",Windows-10-10.0.26200-SP0,,
2026-06-07 14:02:33,0.96572,LightGBM,"Mean BalAcc = 0.9648 ± 0.0002
Min = 0.9646
Max = 0.9650
OOF BalAcc = 0.9648
Time (sec) = 261.0","delta = 53896
redshift = 44474
u = 42859
sin_alpha = 39819
cos_alpha = 39171
z = 38896
g = 37820
r = 35262
i = 34011
redshift_bin = 2104
galaxy_population = 1892
spectral_type = 1796","redshift = 10.88M (52.7%)
spectral_type = 3.33M (16.1%)
z = 1.54M (7.5%)
g = 1.25M (6.1%)
u = 864.11K (4.2%)
redshift_bin = 824.59K (4.0%)
delta = 463.84K (2.2%)
cos_alpha = 392.78K (1.9%)
sin_alpha = 368.39K (1.8%)
i = 310.61K (1.5%)
r = 256.52K (1.2%)
galaxy_population = 149.23K (0.7%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ redshift_bin
- alpha",Добавлен redshift_bin. Kaggle улучшился на 0.00005 (0.96572) — в пределах шума. Биннинг не даёт новой информации , redshift уже оптимально используется моделью.,,
2026-06-07 14:13:26,,LightGBM,"Mean BalAcc = 0.9648 ± 0.0005
Min = 0.9640
Max = 0.9652
OOF BalAcc = 0.9648
Time (sec) = 345.7","delta = 47365
redshift = 41448
sin_alpha = 36947
cos_alpha = 36290
g = 31966
z = 29623
r = 28968
i = 26159
u = 25997
brightness_std = 24356
brightness_range = 22639
total_brightness = 17082
spectral_type = 1246
brightness_mean = 1132
galaxy_population = 782","redshift = 11.44M (55.4%)
brightness_std = 4.05M (19.6%)
brightness_range = 1.19M (5.7%)
g = 1.14M (5.5%)
z = 687.59K (3.3%)
delta = 446.06K (2.2%)
cos_alpha = 400.79K (1.9%)
sin_alpha = 375.29K (1.8%)
r = 243.92K (1.2%)
i = 225.58K (1.1%)
spectral_type = 199.49K (1.0%)
u = 183.34K (0.9%)
total_brightness = 64.63K (0.3%)
galaxy_population = 13.67K (0.1%)
brightness_mean = 3.72K (0.0%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ total_brightness
+ brightness_mean
+ brightness_std
+ brightness_range
- alpha","Добавлены 4 статистики яркости (total_brightness, brightness_mean, brightness_std, brightness_range). Kaggle упал на 0.00064 (0.96532). brightness_std имеет высокий gain (17.7%), но это линейная комбинация u,g,r,i,z, которую деревья находят сами. Мультиколлинеарность ухудшает модель.",Windows-10-10.0.26200-SP0,,
2026-06-07 18:08:08,0.96469,LightGBM,Mean BalAcc = None,"delta = 1040300
redshift = 893707
u = 878653
z = 835947
g = 820810
sin_alpha = 794690
cos_alpha = 792554
r = 772790
i = 755427
galaxy_population = 19018
spectral_type = 15425","redshift = 64.34M (51.4%)
spectral_type = 16.26M (13.0%)
z = 10.37M (8.3%)
g = 8.71M (7.0%)
u = 6.48M (5.2%)
galaxy_population = 3.55M (2.8%)
i = 3.52M (2.8%)
delta = 3.48M (2.8%)
cos_alpha = 2.89M (2.3%)
r = 2.86M (2.3%)
sin_alpha = 2.82M (2.2%)","class_weight = balanced
colsample_bytree = 0.8
learning_rate = 0.005
max_depth = 15
min_child_samples = 5
n_estimators = 10000
num_leaves = 255
subsample = 0.8","MAX_COMPLEX_PARAMS
base
+ sin_alpha
+ cos_alpha
+ redshift_bin
- alpha","MAX_COMPLEX_PARAMS (depth=15, leaves=255, n_est=10000, lr=0.005) на лучших признаках. Kaggle упал на 0.00098 (0.96469). Чрезмерное усложнение модели привело к переобучению на шуме: полезная важность sin_alpha/cos_alpha размылась до 2.2%. Эксперимент подтвердил, что FINAL_PARAMS (depth=10, leaves=63, n_est=2000) являются оптимальными для этого датасета.",Windows-10-10.0.26200-SP0,,
2026-06-08 09:50:33,0.96585,LightGBM,"Mean BalAcc = 0.9648 ± 0.0005
Min = 0.9641
Max = 0.9654
OOF BalAcc = 0.9648
Time (sec) = 345.7","delta = 51308
u = 40704
sin_alpha = 38825
cos_alpha = 37508
z = 36960
g = 35781
abs_mag_r = 33748
r = 31448
i = 31318
redshift = 30746
galaxy_population = 1842
spectral_type = 1812","redshift = 10.24M (49.6%)
spectral_type = 3.33M (16.2%)
z = 1.57M (7.6%)
abs_mag_r = 1.48M (7.2%)
g = 1.23M (6.0%)
u = 889.97K (4.3%)
delta = 448.83K (2.2%)
cos_alpha = 390.17K (1.9%)
sin_alpha = 368.00K (1.8%)
i = 295.17K (1.4%)
r = 232.68K (1.1%)
galaxy_population = 150.57K (0.7%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ abs_mag_r
- alpha","Добавлен abs_mag_r (абсолютная звёздная величина в r-фильтре). Kaggle улучшился на 0.00018 (0.96585). abs_mag_r занял 4-е место с 7.2% важности. redshift потерял часть важности (53.7% → 49.6%), что логично — признак частично берёт информацию о расстоянии. spectral_type вырос (14.9% → 16.2%). Физически обоснованный признак даёт прирост.",Windows-10-10.0.26200-SP0,,
2026-06-08 10:07:45,0.96596,LightGBM,"Mean BalAcc = 0.9646 ± 0.0004
Min = 0.9642
Max = 0.9653
OOF BalAcc = 0.9646
Time (sec) = 463.2","delta = 47859
sin_alpha = 36988
cos_alpha = 35639
z = 34721
u = 34211
curvature_ugr = 31595
abs_mag_r = 30475
r = 29661
i = 29514
g = 28835
redshift = 28729
galaxy_population = 1893
spectral_type = 1880","redshift = 10.37M (50.1%)
spectral_type = 3.17M (15.3%)
z = 1.52M (7.4%)
abs_mag_r = 1.41M (6.8%)
g = 1.12M (5.4%)
u = 794.71K (3.8%)
delta = 437.09K (2.1%)
cos_alpha = 386.68K (1.9%)
sin_alpha = 366.86K (1.8%)
i = 342.99K (1.7%)
galaxy_population = 283.08K (1.4%)
r = 252.01K (1.2%)
curvature_ugr = 225.96K (1.1%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ abs_mag_r
+ curvature_ugr
- alpha","Добавлен curvature_ugr (кривизна спектра u-g-r). Kaggle улучшился на 0.00011 (0.96596). В split признак на 6-м месте (активно используется моделью), но в gain только 1.1% — делает много мелких уточнений. Физически обоснован, оставляем для кумулятивного эффекта.",Windows-10-10.0.26200-SP0,,
2026-06-08 10:27:07,0.96532,LightGBM,"Mean BalAcc = 0.9644 ± 0.0001
Min = 0.9642
Max = 0.9646
OOF BalAcc = 0.9644
Time (sec) = 639.6","delta = 42655
sin_alpha = 33826
cos_alpha = 32862
abs_mag_r = 27813
curvature_ugr = 27534
redshift = 26692
z = 25724
r = 24925
g = 23109
i = 23081
brightness_std = 22638
u = 21342
brightness_range = 20894
total_brightness = 15343
brightness_mean = 1839
spectral_type = 1070
galaxy_population = 653","redshift = 10.35M (49.8%)
brightness_std = 3.67M (17.7%)
abs_mag_r = 1.68M (8.1%)
brightness_range = 1.45M (7.0%)
g = 850.43K (4.1%)
z = 625.80K (3.0%)
delta = 395.75K (1.9%)
cos_alpha = 375.70K (1.8%)
sin_alpha = 354.89K (1.7%)
r = 239.98K (1.2%)
curvature_ugr = 234.76K (1.1%)
i = 200.95K (1.0%)
u = 154.67K (0.7%)
spectral_type = 108.89K (0.5%)
total_brightness = 67.26K (0.3%)
galaxy_population = 9.33K (0.0%)
brightness_mean = 6.50K (0.0%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ abs_mag_r
+ curvature_ugr
+ total_brightness
+ brightness_mean
+ brightness_std
+ brightness_range
- alpha","Добавлены 4 статистики яркости (total_brightness, brightness_mean, brightness_std, brightness_range). Kaggle упал на 0.00064 (0.96532). brightness_std имеет высокий gain (17.7%), но это линейная комбинация u,g,r,i,z, которую деревья находят сами. Мультиколлинеарность ухудшает модель.",Windows-10-10.0.26200-SP0,,
2026-06-08 10:51:23,0.96648,LightGBM,"Mean BalAcc = 0.9650 ± 0.0006
Min = 0.9644
Max = 0.9659
OOF BalAcc = 0.9650
Time (sec) = 584.5","delta = 31231
z = 30734
u = 29900
abs_mag_r = 27598
curvature_ugr = 27571
r = 25895
g = 25590
redshift = 25587
i = 25539
cos_gal_b = 21888
sin_gal_l = 21271
cos_gal_l = 20814
cos_alpha = 20362
sin_alpha = 19106
sin_gal_b = 15423
galaxy_population = 1771
spectral_type = 1720","redshift = 10.31M (49.9%)
spectral_type = 2.96M (14.3%)
z = 1.45M (7.0%)
abs_mag_r = 1.43M (6.9%)
g = 1.09M (5.3%)
u = 831.10K (4.0%)
galaxy_population = 430.50K (2.1%)
i = 384.15K (1.9%)
delta = 308.94K (1.5%)
r = 234.08K (1.1%)
sin_gal_b = 215.80K (1.0%)
curvature_ugr = 214.93K (1.0%)
cos_gal_b = 182.30K (0.9%)
cos_alpha = 179.61K (0.9%)
sin_alpha = 174.85K (0.8%)
cos_gal_l = 135.07K (0.7%)
sin_gal_l = 130.10K (0.6%)","class_weight = balanced
colsample_bytree = 0.9
learning_rate = 0.03
max_depth = 10
min_child_samples = 10
n_estimators = 2000
num_leaves = 63
subsample = 0.9","FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ abs_mag_r
+ curvature_ugr
+ sin_gal_l
+ sin_gal_b
+ cos_gal_b
+ cos_gal_l
- alpha","Добавлены галактические координаты (sin_gal_l, cos_gal_l, sin_gal_b, cos_gal_b). Kaggle улучшился на 0.00052 (0.96648), K-Fold на 0.0004 (0.9650). Галактические координаты заняли места 10-15 по split, суммарный gain 3.2%. sin/cos_alpha упали с 2-3 места до 13-14 места по split (с 3.7% gain до 1.7%) — галактические координаты ""вытеснили"" их, но общий результат улучшился.",Windows-10-10.0.26200-SP0,,
,0.96645,LightGBM,,,,,"FINAL_PARAMS
base
+ sin_alpha
+ cos_alpha
+ abs_mag_r
+ curvature_ugr
+ sin_gal_l
+ sin_gal_b
+ cos_gal_b
+ cos_gal_l
+ color_gr
+ color_rz
+ color_ug
+ color_ri
+ color_iz
- alpha","Добавлены все цветовые индексы (color_gr, color_rz, color_ug, color_ri, color_iz). Kaggle упал на 0.00003 (0.96645), K-Fold на 0.0001 (0.9649). color_gr занял 2-е место по gain (17.2%), но это дублирование информации из g и r. spectral_type катастрофически упал с 14.3% до 0.1%. Мультиколлинеарность ухудшает модель.",macOS-15.7.7-arm64-arm-64bit-Mach-O,,
